ID,user name,screen name,created at,text,score
1320690521816338433,Journal of Comparative Pathology,JournalCompPath,2020-10-26 11:35:32,"RT @DefraGovUK: Scientists are now testing sewage samples to detect local #coronavirus outbreaks, even when people don't show symptoms.

Thâ€¦",0.0
1320690501939531776,ShannonTheResister,shannonthebull,2020-10-26 11:35:27,"RT @DrDenaGrayson: ðŸš¨BREAKING: the US has set a new record for new #coronavirus cases averaged over a 7-day period of 68,954 casesâ€”shatterinâ€¦",0.14
1320690500702228480,Jen-Xtra,jenjamn515,2020-10-26 11:35:27,"RT @BruceBourgoine: This is what may be in store Levant, #Maine. Hope not but itâ€™s @realDonaldTrump who cavalierly played with your lives aâ€¦",0.0
1320690492384923648,James Clark,clarkjames70,2020-10-26 11:35:25,RT @nicholasmith6: Iâ€™m literally Raging &amp; in tears ðŸ˜¢ðŸ¤¯ðŸ˜¡ @Tesco how the hell is beer essential and PERIOD PRODUCTS are Non essential ðŸ˜¡!!!! @Wâ€¦,0.0
1320690491885834240,Brown Eyed Bigfoot,BrownEyedStan,2020-10-26 11:35:25,"RT @DrDenaGrayson: ðŸš¨BREAKING: the US has set a new record for new #coronavirus cases averaged over a 7-day period of 68,954 casesâ€”shatterinâ€¦",0.14
1320690484310933504,Carrie McCormack,carriemdja,2020-10-26 11:35:23,RT @nicholasmith6: Iâ€™m literally Raging &amp; in tears ðŸ˜¢ðŸ¤¯ðŸ˜¡ @Tesco how the hell is beer essential and PERIOD PRODUCTS are Non essential ðŸ˜¡!!!! @Wâ€¦,0.0
1320690481324503041,Paul Burgin,Paul_Burgin,2020-10-26 11:35:22,#MarsHillBlog Post On Trump's Chief of Staff effectively saying that the White House has given up on the pandemic #DonaldTrump #WhiteHouse #MarkMeadows #Coronavirus #Republicans #Democrats #Elections2020 #USA #UnitedStates https://t.co/7uNi7NSIWf,0.3
1320690472952758272,Glen Dakan,GlenDakan,2020-10-26 11:35:20,"Mike Pence's chief of staff Marc Short, other top aide test positive for 
COVID-19 #COVID19 #Coronavirus #PCR #Antibody #N95 #PPE #Vaccine https://t.co/OZJTV19Laa",0.15
1320690470964523010,M,RoxyinLQ,2020-10-26 11:35:20,RT @TeamPelosi: Help is on the way for Americaâ€™s working families struggling in the wake of Trumpâ€™s failed #coronavirus response â€” the soonâ€¦,-0.5
1320690459220430851,Rohiet Rajesh Paatil,RohietPaatil,2020-10-26 11:35:17,"Today saw the crowd in various #PoliticalParties rally's in #Bihar, and  Iam not getting that 1)there is no #coronavirus in Bihar or 2)the people there have invented their own vaccine ðŸ˜…
#BiharElections 
@Aslam__Official @ShreyasNikz @official_sanket @aki_lonely143 @bihar_police",0.3
1320690455114321920,Edwige,Edwige90271395,2020-10-26 11:35:16,RT @Jerusalem_Post: Legionella #bacteria were found in water in the #coronavirus ward at Rabin Medical Center-Hasharon Campus on Monday. Noâ€¦,0.0
1320690401192398850,defcon_5,defcon_5,2020-10-26 11:35:03,"The impact of the second wave intensifies in many waysâ€¦

#Covid19 #coronavirus #sars_cov_2 https://t.co/K9IbfhrHbu",0.25
1320690396415012872,hkendall,hkendall1878,2020-10-26 11:35:02,RT @HeydonProwse: Welcome to the new Donald Trump Wellness TokTik! Become immune to #coronavirus just like him! Check it out! Pls share #DEâ€¦,0.53
1320690392317239297,Darla,hilltophereford,2020-10-26 11:35:01,"RT @DrDenaGrayson: ðŸš¨BREAKING: the US has set a new record for new #coronavirus cases averaged over a 7-day period of 68,954 casesâ€”shatterinâ€¦",0.14
1320690378199207937,Peter Garrity,Peter9001,2020-10-26 11:34:58,"RT @CCNoelDolan: @TheSun #SAGE
""Error 1. Assuming that 100% of the population was susceptible to the virus ...""
""Error 2. ... belief percenâ€¦",0.0
